SQL> set line 150
SQL> select employee_id, first_name, salary, hire_date, department_id from employees;

EMPLOYEE_ID FIRST_NAME               SALARY HIRE_DATE DEPARTMENT_ID                                                                                   
----------- -------------------- ---------- --------- -------------                                                                                   
        100 Steven                    24000 17-JUN-03            90                                                                                   
        101 Neena                     17000 21-SEP-05            90                                                                                   
        102 Lex                       17000 13-JAN-01            90                                                                                   
        103 Alexander                  9000 03-JAN-06            60                                                                                   
        104 Bruce                      6000 21-MAY-07            60                                                                                   
        105 David                      4800 25-JUN-05            60                                                                                   
        106 Valli                      4800 05-FEB-06            60                                                                                   
        107 Diana                      4200 07-FEB-07            60                                                                                   
        108 Nancy                     12008 17-AUG-02           100                                                                                   
        109 Daniel                     9000 16-AUG-02           100                                                                                   
        110 John                       8200 28-SEP-05           100                                                                                   
        111 Ismael                     7700 30-SEP-05           100                                                                                   
        112 Jose Manuel                7800 07-MAR-06           100                                                                                   
        113 Luis                       6900 07-DEC-07           100                                                                                   
        114 Den                       11000 07-DEC-02            30                                                                                   
        115 Alexander                  3100 18-MAY-03            30                                                                                   
        116 Shelli                     2900 24-DEC-05            30                                                                                   
        117 Sigal                      2800 24-JUL-05            30                                                                                   
        118 Guy                        2600 15-NOV-06            30                                                                                   
        119 Karen                      2500 10-AUG-07            30                                                                                   
        120 Matthew                    8000 18-JUL-04            50                                                                                   
        121 Adam                       8200 10-APR-05            50                                                                                   
        122 Payam                      7900 01-MAY-03            50                                                                                   
        123 Shanta                     6500 10-OCT-05            50                                                                                   
        124 Kevin                      5800 16-NOV-07            50                                                                                   
        125 Julia                      3200 16-JUL-05            50                                                                                   
        126 Irene                      2700 28-SEP-06            50                                                                                   
        127 James                      2400 14-JAN-07            50                                                                                   
        128 Steven                     2200 08-MAR-08            50                                                                                   
        129 Laura                      3300 20-AUG-05            50                                                                                   
        130 Mozhe                      2800 30-OCT-05            50                                                                                   
        131 James                      2500 16-FEB-05            50                                                                                   
        132 TJ                         2100 10-APR-07            50                                                                                   
        133 Jason                      3300 14-JUN-04            50                                                                                   
        134 Michael                    2900 26-AUG-06            50                                                                                   
        135 Ki                         2400 12-DEC-07            50                                                                                   
        136 Hazel                      2200 06-FEB-08            50                                                                                   
        137 Renske                     3600 14-JUL-03            50                                                                                   
        138 Stephen                    3200 26-OCT-05            50                                                                                   
        139 John                       2700 12-FEB-06            50                                                                                   
        140 Joshua                     2500 06-APR-06            50                                                                                   
        141 Trenna                     3500 17-OCT-03            50                                                                                   
        142 Curtis                     3100 29-JAN-05            50                                                                                   
        143 Randall                    2600 15-MAR-06            50                                                                                   
        144 Peter                      2500 09-JUL-06            50                                                                                   
        145 John                      14000 01-OCT-04            80                                                                                   
        146 Karen                     13500 05-JAN-05            80                                                                                   
        147 Alberto                   12000 10-MAR-05            80                                                                                   
        148 Gerald                    11000 15-OCT-07            80                                                                                   
        149 Eleni                     10500 29-JAN-08            80                                                                                   
        150 Peter                     10000 30-JAN-05            80                                                                                   
        151 David                      9500 24-MAR-05            80                                                                                   
        152 Peter                      9000 20-AUG-05            80                                                                                   
        153 Christopher                8000 30-MAR-06            80                                                                                   
        154 Nanette                    7500 09-DEC-06            80                                                                                   
        155 Oliver                     7000 23-NOV-07            80                                                                                   
        156 Janette                   10000 30-JAN-04            80                                                                                   
        157 Patrick                    9500 04-MAR-04            80                                                                                   
        158 Allan                      9000 01-AUG-04            80                                                                                   
        159 Lindsey                    8000 10-MAR-05            80                                                                                   
        160 Louise                     7500 15-DEC-05            80                                                                                   
        161 Sarath                     7000 03-NOV-06            80                                                                                   
        162 Clara                     10500 11-NOV-05            80                                                                                   
        163 Danielle                   9500 19-MAR-07            80                                                                                   
        164 Mattea                     7200 24-JAN-08            80                                                                                   
        165 David                      6800 23-FEB-08            80                                                                                   
        166 Sundar                     6400 24-MAR-08            80                                                                                   
        167 Amit                       6200 21-APR-08            80                                                                                   
        168 Lisa                      11500 11-MAR-05            80                                                                                   
        169 Harrison                  10000 23-MAR-06            80                                                                                   
        170 Tayler                     9600 24-JAN-06            80                                                                                   
        171 William                    7400 23-FEB-07            80                                                                                   
        172 Elizabeth                  7300 24-MAR-07            80                                                                                   
        173 Sundita                    6100 21-APR-08            80                                                                                   
        174 Ellen                     11000 11-MAY-04            80                                                                                   
        175 Alyssa                     8800 19-MAR-05            80                                                                                   
        176 Jonathon                   8600 24-MAR-06            80                                                                                   
        177 Jack                       8400 23-APR-06            80                                                                                   
        178 Kimberely                  7000 24-MAY-07                                                                                                 
        179 Charles                    6200 04-JAN-08            80                                                                                   
        180 Winston                    3200 24-JAN-06            50                                                                                   
        181 Jean                       3100 23-FEB-06            50                                                                                   
        182 Martha                     2500 21-JUN-07            50                                                                                   
        183 Girard                     2800 03-FEB-08            50                                                                                   
        184 Nandita                    4200 27-JAN-04            50                                                                                   
        185 Alexis                     4100 20-FEB-05            50                                                                                   
        186 Julia                      3400 24-JUN-06            50                                                                                   
        187 Anthony                    3000 07-FEB-07            50                                                                                   
        188 Kelly                      3800 14-JUN-05            50                                                                                   
        189 Jennifer                   3600 13-AUG-05            50                                                                                   
        190 Timothy                    2900 11-JUL-06            50                                                                                   
        191 Randall                    2500 19-DEC-07            50                                                                                   
        192 Sarah                      4000 04-FEB-04            50                                                                                   
        193 Britney                    3900 03-MAR-05            50                                                                                   
        194 Samuel                     3200 01-JUL-06            50                                                                                   
        195 Vance                      2800 17-MAR-07            50                                                                                   
        196 Alana                      3100 24-APR-06            50                                                                                   
        197 Kevin                      3000 23-MAY-06            50                                                                                   
        198 Donald                     2600 21-JUN-07            50                                                                                   
        199 Douglas                    2600 13-JAN-08            50                                                                                   
        200 Jennifer                   4400 17-SEP-03            10                                                                                   
        201 Michael                   13000 17-FEB-04            20                                                                                   
        202 Pat                        6000 17-AUG-05            20                                                                                   
        203 Susan                      6500 07-JUN-02            40                                                                                   
        204 Hermann                   10000 07-JUN-02            70                                                                                   
        205 Shelley                   12008 07-JUN-02           110                                                                                   
        206 William                    8300 07-JUN-02           110                                                                                   

107 rows selected.

SQL> select employee_id, first_name, salary, hire_date, department_id
  2  from employees
  3  order by department_id desc;

EMPLOYEE_ID FIRST_NAME               SALARY HIRE_DATE DEPARTMENT_ID                                                                                   
----------- -------------------- ---------- --------- -------------                                                                                   
        178 Kimberely                  7000 24-MAY-07                                                                                                 
        205 Shelley                   12008 07-JUN-02           110                                                                                   
        206 William                    8300 07-JUN-02           110                                                                                   
        111 Ismael                     7700 30-SEP-05           100                                                                                   
        113 Luis                       6900 07-DEC-07           100                                                                                   
        110 John                       8200 28-SEP-05           100                                                                                   
        109 Daniel                     9000 16-AUG-02           100                                                                                   
        108 Nancy                     12008 17-AUG-02           100                                                                                   
        112 Jose Manuel                7800 07-MAR-06           100                                                                                   
        100 Steven                    24000 17-JUN-03            90                                                                                   
        101 Neena                     17000 21-SEP-05            90                                                                                   
        102 Lex                       17000 13-JAN-01            90                                                                                   
        145 John                      14000 01-OCT-04            80                                                                                   
        179 Charles                    6200 04-JAN-08            80                                                                                   
        147 Alberto                   12000 10-MAR-05            80                                                                                   
        148 Gerald                    11000 15-OCT-07            80                                                                                   
        149 Eleni                     10500 29-JAN-08            80                                                                                   
        150 Peter                     10000 30-JAN-05            80                                                                                   
        151 David                      9500 24-MAR-05            80                                                                                   
        152 Peter                      9000 20-AUG-05            80                                                                                   
        153 Christopher                8000 30-MAR-06            80                                                                                   
        154 Nanette                    7500 09-DEC-06            80                                                                                   
        155 Oliver                     7000 23-NOV-07            80                                                                                   
        156 Janette                   10000 30-JAN-04            80                                                                                   
        157 Patrick                    9500 04-MAR-04            80                                                                                   
        158 Allan                      9000 01-AUG-04            80                                                                                   
        159 Lindsey                    8000 10-MAR-05            80                                                                                   
        160 Louise                     7500 15-DEC-05            80                                                                                   
        161 Sarath                     7000 03-NOV-06            80                                                                                   
        162 Clara                     10500 11-NOV-05            80                                                                                   
        163 Danielle                   9500 19-MAR-07            80                                                                                   
        164 Mattea                     7200 24-JAN-08            80                                                                                   
        165 David                      6800 23-FEB-08            80                                                                                   
        166 Sundar                     6400 24-MAR-08            80                                                                                   
        167 Amit                       6200 21-APR-08            80                                                                                   
        168 Lisa                      11500 11-MAR-05            80                                                                                   
        169 Harrison                  10000 23-MAR-06            80                                                                                   
        170 Tayler                     9600 24-JAN-06            80                                                                                   
        171 William                    7400 23-FEB-07            80                                                                                   
        172 Elizabeth                  7300 24-MAR-07            80                                                                                   
        173 Sundita                    6100 21-APR-08            80                                                                                   
        174 Ellen                     11000 11-MAY-04            80                                                                                   
        175 Alyssa                     8800 19-MAR-05            80                                                                                   
        176 Jonathon                   8600 24-MAR-06            80                                                                                   
        177 Jack                       8400 23-APR-06            80                                                                                   
        146 Karen                     13500 05-JAN-05            80                                                                                   
        204 Hermann                   10000 07-JUN-02            70                                                                                   
        103 Alexander                  9000 03-JAN-06            60                                                                                   
        104 Bruce                      6000 21-MAY-07            60                                                                                   
        107 Diana                      4200 07-FEB-07            60                                                                                   
        106 Valli                      4800 05-FEB-06            60                                                                                   
        105 David                      4800 25-JUN-05            60                                                                                   
        120 Matthew                    8000 18-JUL-04            50                                                                                   
        199 Douglas                    2600 13-JAN-08            50                                                                                   
        122 Payam                      7900 01-MAY-03            50                                                                                   
        123 Shanta                     6500 10-OCT-05            50                                                                                   
        124 Kevin                      5800 16-NOV-07            50                                                                                   
        125 Julia                      3200 16-JUL-05            50                                                                                   
        126 Irene                      2700 28-SEP-06            50                                                                                   
        127 James                      2400 14-JAN-07            50                                                                                   
        128 Steven                     2200 08-MAR-08            50                                                                                   
        129 Laura                      3300 20-AUG-05            50                                                                                   
        130 Mozhe                      2800 30-OCT-05            50                                                                                   
        131 James                      2500 16-FEB-05            50                                                                                   
        132 TJ                         2100 10-APR-07            50                                                                                   
        133 Jason                      3300 14-JUN-04            50                                                                                   
        134 Michael                    2900 26-AUG-06            50                                                                                   
        135 Ki                         2400 12-DEC-07            50                                                                                   
        136 Hazel                      2200 06-FEB-08            50                                                                                   
        137 Renske                     3600 14-JUL-03            50                                                                                   
        138 Stephen                    3200 26-OCT-05            50                                                                                   
        139 John                       2700 12-FEB-06            50                                                                                   
        140 Joshua                     2500 06-APR-06            50                                                                                   
        141 Trenna                     3500 17-OCT-03            50                                                                                   
        142 Curtis                     3100 29-JAN-05            50                                                                                   
        143 Randall                    2600 15-MAR-06            50                                                                                   
        144 Peter                      2500 09-JUL-06            50                                                                                   
        180 Winston                    3200 24-JAN-06            50                                                                                   
        181 Jean                       3100 23-FEB-06            50                                                                                   
        182 Martha                     2500 21-JUN-07            50                                                                                   
        183 Girard                     2800 03-FEB-08            50                                                                                   
        184 Nandita                    4200 27-JAN-04            50                                                                                   
        185 Alexis                     4100 20-FEB-05            50                                                                                   
        186 Julia                      3400 24-JUN-06            50                                                                                   
        187 Anthony                    3000 07-FEB-07            50                                                                                   
        188 Kelly                      3800 14-JUN-05            50                                                                                   
        189 Jennifer                   3600 13-AUG-05            50                                                                                   
        190 Timothy                    2900 11-JUL-06            50                                                                                   
        191 Randall                    2500 19-DEC-07            50                                                                                   
        192 Sarah                      4000 04-FEB-04            50                                                                                   
        193 Britney                    3900 03-MAR-05            50                                                                                   
        194 Samuel                     3200 01-JUL-06            50                                                                                   
        195 Vance                      2800 17-MAR-07            50                                                                                   
        196 Alana                      3100 24-APR-06            50                                                                                   
        197 Kevin                      3000 23-MAY-06            50                                                                                   
        198 Donald                     2600 21-JUN-07            50                                                                                   
        121 Adam                       8200 10-APR-05            50                                                                                   
        203 Susan                      6500 07-JUN-02            40                                                                                   
        114 Den                       11000 07-DEC-02            30                                                                                   
        115 Alexander                  3100 18-MAY-03            30                                                                                   
        119 Karen                      2500 10-AUG-07            30                                                                                   
        117 Sigal                      2800 24-JUL-05            30                                                                                   
        118 Guy                        2600 15-NOV-06            30                                                                                   
        116 Shelli                     2900 24-DEC-05            30                                                                                   
        202 Pat                        6000 17-AUG-05            20                                                                                   
        201 Michael                   13000 17-FEB-04            20                                                                                   
        200 Jennifer                   4400 17-SEP-03            10                                                                                   

107 rows selected.

SQL> select employee_id, first_name, salary, hire_date, department_id
  2  from employees
  3  order by hire_date;

EMPLOYEE_ID FIRST_NAME               SALARY HIRE_DATE DEPARTMENT_ID                                                                                   
----------- -------------------- ---------- --------- -------------                                                                                   
        102 Lex                       17000 13-JAN-01            90                                                                                   
        206 William                    8300 07-JUN-02           110                                                                                   
